PLAYER_ID,SALARY_CR,DEBUT_YEAR,COUNTRY
1,16.99,2016,India
2,0.87,2017,New Zealand
3,6.34,2022,Australia
4,4.18,2016,India
5,15.9,2008,Afghanistan
6,14.49,2023,India
7,6.38,2019,Afghanistan
8,4.27,2009,India
9,4.2,2019,India
10,8.91,2009,India
11,10.03,2008,Australia
12,8.31,2011,India
13,0.91,2021,India
14,12.12,2014,India
15,5.59,2015,Afghanistan
16,2.52,2022,India
17,5.84,2019,India
18,2.21,2008,India
19,1.52,2008,India
20,3.97,2019,Australia
21,14.86,2019,Australia
22,3.62,2014,India
23,9.3,2023,India
24,12.24,2009,India
25,7.52,2008,India
26,3.13,2008,India
27,8.01,2011,India
28,1.53,2023,India
29,8.38,2017,Afghanistan
30,3.12,2018,India
31,8.65,2022,India
32,1.67,2016,India
33,9.71,2015,South Africa
34,4.5,2013,India
35,6.88,2019,Afghanistan
36,7.82,2014,India
37,1.54,2018,India
38,1.96,2010,India
39,0.97,2023,India
40,14.86,2017,India
41,9.75,2020,India
42,9.31,2022,India
43,13.53,2008,India
44,3.23,2021,India
45,5.32,2015,India
46,3.79,2020,India
47,8.97,2021,India
48,4.84,2014,India
49,5.47,2022,India
50,10.2,2017,India
51,0.64,2012,India
52,17.05,2014,India
53,16.91,2022,New Zealand
54,6.3,2011,India
55,1.57,2016,Sri Lanka
56,11.85,2023,India
57,9.76,2020,India
58,9.73,2010,India
59,5.95,2014,India
60,14.5,2018,India
61,14.93,2019,Afghanistan
62,3.49,2016,India
63,11.59,2016,India
64,7.69,2015,Australia
65,9.08,2020,India
66,5.7,2019,India
67,8.4,2019,India
68,10.9,2010,New Zealand
69,10.09,2022,West Indies
70,13.31,2017,New Zealand
71,16.38,2018,India
72,9.48,2016,India
73,4.9,2009,India
74,9.16,2023,India
75,12.34,2015,India
76,2.63,2010,India
77,3.5,2016,South Africa
78,1.76,2018,India
79,18.0,2015,India
80,7.45,2014,South Africa
81,15.81,2021,India
82,15.58,2008,India
83,12.14,2016,Afghanistan
84,6.79,2019,Afghanistan
85,11.78,2020,West Indies
86,7.56,2009,India
87,2.56,2015,India
88,9.52,2014,India
89,14.68,2011,India
90,4.88,2016,South Africa
91,6.56,2023,India
92,11.22,2017,India
93,10.96,2016,India
94,10.41,2013,India
95,13.34,2023,India
96,8.35,2020,India
97,17.51,2017,Sri Lanka
98,8.45,2019,India
99,8.55,2012,New Zealand
100,1.91,2022,India
101,13.62,2014,New Zealand
102,3.94,2017,Afghanistan
103,10.85,2009,New Zealand
104,6.23,2016,India
105,15.98,2012,India
106,15.01,2012,India
107,12.42,2022,England
108,15.01,2015,India
109,10.65,2016,India
110,8.16,2015,India
111,12.05,2013,India
112,10.32,2012,India
113,7.9,2023,India
114,14.98,2019,Australia
115,5.33,2020,India
116,13.91,2008,India
117,17.72,2022,India
118,8.93,2023,Sri Lanka
119,5.52,2020,India
120,3.63,2014,Australia
121,2.22,2014,India
122,5.97,2009,India
123,12.18,2021,India
124,4.03,2016,Afghanistan
